                          name     before      after      delta
         us-east-2c-i2.8xlarge    1678.46    4478.01    2799.55
         us-east-2b-i2.8xlarge    1682.74    4419.36    2736.62
         us-east-2a-i2.8xlarge    1734.90    4419.36    2684.46
         us-west-1a-d2.8xlarge    1661.72    4050.00    2388.28
         us-east-2b-d2.8xlarge    1221.09    3576.96    2355.87
         us-east-2c-d2.8xlarge    1324.85    3596.58    2271.73
         us-west-2c-i2.8xlarge    2187.26    4419.36    2232.10
         us-west-2a-i2.8xlarge    2463.23    4419.36    1956.13
         us-west-1b-d2.8xlarge    2115.46    4050.00    1934.54
         us-east-2a-d2.8xlarge    1671.46    3585.18    1913.72
         us-west-2b-i2.8xlarge    2649.03    4454.52    1805.49
         us-west-2b-i2.4xlarge    1248.97    2749.42    1500.45
         us-west-2a-d2.8xlarge    2205.64    3576.96    1371.32
         us-east-2b-i2.4xlarge     876.70    2242.51    1365.81
         us-east-2c-i2.4xlarge     849.12    2209.68    1360.56
         us-west-1a-i3.8xlarge     755.32    2114.74    1359.42
         us-west-1a-i2.4xlarge    1096.35    2431.13    1334.78
         us-east-1a-i2.4xlarge    1029.23    2360.17    1330.94
         us-west-1b-i2.4xlarge    1108.89    2431.36    1322.47
         us-east-2a-i2.4xlarge     904.87    2225.55    1320.69
         us-west-2c-i2.4xlarge    1210.18    2479.04    1268.87
         us-west-1a-d2.4xlarge     777.23    2026.63    1249.40
         us-west-2a-d2.4xlarge     646.41    1789.74    1143.33
         us-west-2a-i2.4xlarge    1265.33    2378.49    1113.16
         us-east-2b-d2.4xlarge     689.89    1788.48    1098.59
         us-east-2c-d2.4xlarge     838.94    1788.48     949.54
         us-west-1b-i3.4xlarge     388.96    1193.96     805.00
         us-west-1b-i2.2xlarge     423.90    1215.65     791.75
         us-west-1a-i3.4xlarge     335.57    1063.23     727.67
         us-east-2b-i2.2xlarge     378.04    1104.84     726.80
         us-east-2a-i2.2xlarge     380.23    1104.84     724.61
         us-east-2c-i2.2xlarge     383.19    1104.84     721.65
         us-west-1a-i2.2xlarge     529.55    1215.65     686.10
         us-east-1b-i2.2xlarge     459.48    1104.84     645.36
        us-east-2a-m4.10xlarge     824.34    1433.10     608.76
         us-east-2b-d2.2xlarge     351.02     894.24     543.22
         us-east-2c-d2.2xlarge     364.71     894.24     529.53
         us-west-2a-i2.2xlarge     622.29    1104.84     482.55
         us-west-2b-i2.2xlarge     624.22    1104.84     480.62
         us-west-2c-i3.4xlarge     528.63     969.64     441.01
        us-west-2a-cc2.8xlarge    1036.82    1437.24     400.42
          us-west-1a-i2.xlarge     238.74     607.82     369.08
          us-west-1b-i2.xlarge     238.82     607.82     369.00
          us-east-2c-i2.xlarge     186.40     552.59     366.19
          us-east-2b-i2.xlarge     188.94     552.64     363.70
          us-east-2a-i2.xlarge     189.39     552.70     363.32
         us-west-2a-d2.2xlarge     531.12     894.24     363.12
          us-east-1b-i2.xlarge     192.61     552.74     360.13
         us-west-2b-d2.2xlarge     548.17     894.24     346.07
         us-west-1b-c3.8xlarge     664.78    1005.07     340.29
         us-west-1b-i3.2xlarge     250.77     589.91     339.14
          us-east-1a-i2.xlarge     223.49     552.74     329.25
        us-west-2c-m4.16xlarge    1773.67    2100.27     326.60
        us-east-2a-m4.16xlarge    1045.44    1360.42     314.98
         us-west-1a-i3.2xlarge     220.89     525.62     304.74
        us-east-2b-m4.16xlarge    1037.45    1320.84     283.39
          us-east-2c-d2.xlarge     163.80     447.12     283.32
        us-east-2b-m4.10xlarge     681.89     955.07     273.18
          us-east-2b-d2.xlarge     175.44     447.12     271.68
         us-east-2a-r4.8xlarge     577.66     835.47     257.81
          us-west-2a-i2.xlarge     296.70     552.74     256.05
          us-west-2b-i2.xlarge     297.49     552.74     255.25
          us-west-2c-i2.xlarge     297.62     552.74     255.12
        us-east-2c-m4.16xlarge    1036.15    1283.71     247.56
          us-east-2a-d2.xlarge     208.71     447.12     238.41
           us-west-2a-m1.large      17.25     249.25     232.00
           us-west-2b-m1.large      17.18     249.14     231.96
           us-west-2c-m1.large      17.28     246.24     228.96
         us-east-2c-r4.8xlarge     561.14     782.92     221.78
         us-west-1a-c3.8xlarge     735.25     956.33     221.08
         us-west-1a-c3.4xlarge     361.32     575.43     214.11
        us-west-2c-x1.16xlarge    4251.28    4462.30     211.02
          us-east-2a-p2.xlarge     436.81     636.69     199.88
          us-east-2c-p2.xlarge     434.37     633.47     199.09
          us-west-1b-i3.xlarge      85.27     272.30     187.02
        us-east-2c-m4.10xlarge     670.26     854.56     184.30
          us-west-2b-d2.xlarge     285.19     447.12     161.93
          us-west-2a-d2.xlarge     287.60     447.12     159.52
          us-west-1a-i3.xlarge      88.91     239.98     151.08
          us-east-2b-p2.xlarge     480.95     631.71     150.76
         us-west-1a-r3.4xlarge     570.96     715.04     144.08
         us-west-1a-d2.2xlarge     876.10    1013.18     137.08
          us-west-1a-d2.xlarge     373.40     505.87     132.47
         us-west-1b-c3.4xlarge     357.77     488.48     130.70
